Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
32. Let Him Go,2020,1h 53m,R,6.7,37K,63.0,"A retired sheriff and his wife, grieving over the death of their son, set out to find their only grandson.",https://www.imdb.com/title/tt9340860/?ref_=sr_i_32,"['Thomas Bezucha', 'Larry Watson']",['Thomas Bezucha'],"['Diane Lane', 'Kevin Costner', 'Kayli Carter', 'Ryan Bruce', 'Otto Hornung', 'Bram Hornung', 'Lesley Manville', 'Will Brittain', 'Jeffrey Donovan', 'Connor Mackay']",,"$4,000,470","$10,835,686","$9,358,025","November 6, 2020",['United States'],"['Didsbury, Alberta, Canada']",['The Mazur Kaplan Company'],"Awards, 3 wins & 3 nominations total","['Psychological Drama', 'Psychological Thriller', 'Crime', 'Drama', 'Thriller', 'Western']","['English', 'Ukrainian']"
33. Freaky,2020,1h 42m,R,6.3,77K,67.0,"After swapping bodies with a deranged serial killer, a high-school senior discovers that she has fewer than 24 hours before the change becomes permanent.",https://www.imdb.com/title/tt10919380/?ref_=sr_i_33,"['Michael Kennedy', 'Christopher Landon']",['Christopher Landon'],"['Vince Vaughn', 'Kathryn Newton', ""Celeste O'Connor"", 'Misha Osherovich', 'Emily Holder', 'Nicholas Stargel', 'Kelly Lamor Wilson', 'Mitchell Hoog', 'Dana Drori', 'Katie Finneran']","$5,000,000 (estimated)","$3,600,355","$18,073,433","$9,030,855","November 13, 2020",['United States'],"['Denmark High School - 645 Mullinax Rd, Alpharetta, Georgia, USA (Blissfield Valley High)']","['Universal Pictures', 'Blumhouse Productions', 'Divide/Conquer']","Awards, 1 win & 18 nominations total","['Body Swap Comedy', 'Dark Comedy', 'Slasher Horror', 'Supernatural Horror', 'Teen Comedy', 'Teen Horror', 'Comedy', 'Horror', 'Thriller']","['English', 'Spanish']"
34. Downhill,2020,1h 26m,R,4.9,14K,49.0,"Barely escaping an avalanche during a family ski vacation in the Alps, a married couple is thrown into disarray as they are forced to reevaluate their lives and how they feel about each other.",https://www.imdb.com/title/tt4558376/?ref_=sr_i_34,"['Jesse Armstrong', 'Nat Faxon', 'Jim Rash']","['Nat Faxon', 'Jim Rash']","['Julia Louis-Dreyfus', 'Will Ferrell', 'Zach Woods', 'Zoë Chao', 'Miranda Otto', 'Giulio Berruti', 'Julian Grey', 'Ammon Jacob Ford', 'Kristofer Hivju', 'Alex Macqueen']",,"$4,622,018","$8,899,195","$8,287,061","February 14, 2020",['United States'],"['Ischgl, Tirol, Austria']","['Filmhaus Films', 'Likely Story', 'Searchlight Pictures']","Awards, 1 win & 2 nominations total","['Comedy', 'Drama']","['English', 'German', 'Italian', 'Hindi']"
35. The Night House,2020,1h 47m,R,6.4,72K,68.0,A widow begins to uncover her recently deceased husband's disturbing secrets.,https://www.imdb.com/title/tt9731534/?ref_=sr_i_35,"['Ben Collins', 'Luke Piotrowski']",['David Bruckner'],"['Rebecca Hall', 'Sarah Goldberg', 'Vondie Curtis-Hall', 'Evan Jonigkeit', 'Stacy Martin', 'David Abeles', 'Christina Jackson', 'Patrick A. Sova', 'Crystal Swann', 'Catherine Weidner']",,"$2,859,409","$15,437,703","$7,100,581","August 20, 2021","['United Kingdom', 'United States']","['Syracuse, New York, USA']","['Searchlight Pictures', 'TSG Entertainment', 'Anton']","Awards, 1 win & 19 nominations total","['Psychological Horror', 'Supernatural Horror', 'Suspense Mystery', 'Horror', 'Mystery', 'Thriller']",['English']
36. The Courier,2020,1h 52m,PG-13,7.2,78K,65.0,Businessman Greville Wynne is asked by a Russian source to try to help put an end to the Cuban Missile Crisis.,https://www.imdb.com/title/tt8368512/?ref_=sr_i_36,"[""Tom O'Connor""]",['Dominic Cooke'],"['Benedict Cumberbatch', 'Merab Ninidze', 'Rachel Brosnahan', 'Vladimir Chuprikov', 'James Schofield', 'Fred Haig', 'Emma Penzina', 'Mariya Mironova', 'Anton Lesser', 'Angus Wright']",,"$1,885,829","$26,001,227","$6,613,432","March 19, 2021","['United Kingdom', 'United States']","['Prague, Czech Republic (USSR scenes)']","['42', 'FilmNation Entertainment', 'Nova Media']","Awards, 2 nominations total","['Spy', 'Drama', 'History', 'Mystery', 'Thriller']","['English', 'Russian']"
37. Promising Young Woman,2020,1h 53m,R,7.5,223K,72.0,"Nothing in Cassie's life is what it appears to be - she's wickedly smart, tantalizingly cunning, and she's living a secret double life. Now, an unexpected encounter is about to give Cassie a chance to right the wrongs from the past.",https://www.imdb.com/title/tt9620292/?ref_=sr_i_37,['Emerald Fennell'],['Emerald Fennell'],"['Carey Mulligan', 'Bo Burnham', 'Alison Brie', 'Clancy Brown', 'Adam Brody', 'Ray Nicholson', 'Sam Richardson', 'Timothy E. Goodwin', 'Jennifer Coolidge', 'Laverne Cox']",,"$719,305","$18,854,166","$6,460,965","December 25, 2020","['United Kingdom', 'United States']","['Los Angeles, California, USA (Location)']","['FilmNation Entertainment', 'Focus Features', 'LuckyChap']","Won 1 Oscar, 118 wins & 201 nominations total","['Psychological Thriller', 'Suspense Mystery', 'Tragedy', 'Crime', 'Drama', 'Mystery', 'Thriller']",['English']
38. Fatale,2020,1h 42m,R,5.5,15K,42.0,"After a one-night stand, a successful married man finds himself entangled in a cunning police detective's latest investigation.",https://www.imdb.com/title/tt8829830/?ref_=sr_i_38,['David Loughery'],['Deon Taylor'],"['Hilary Swank', 'Michael Ealy', 'Mike Colter', 'Damaris Lewis', 'Tyrin Turner', 'Danny Pino', 'Geoffrey Owens', 'David Hoflin', 'Sam Daly', 'Lance Stephenson']",,"$918,112","$7,031,289","$6,306,897","December 18, 2020",['United States'],"[""1661 Buckingham Rd, Los Angeles, California, USA (As Carter Heywood's home.)""]",['Hidden Empire Film Group (HEFG)'],,"['Drama', 'Mystery', 'Romance', 'Thriller']",['English']
39. The Hunt,2020,1h 30m,R,6.6,142K,50.0,"Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt.",https://www.imdb.com/title/tt8244784/?ref_=sr_i_39,"['Nick Cuse', 'Damon Lindelof']",['Craig Zobel'],"['Betty Gilpin', 'Hilary Swank', 'Ike Barinholtz', 'Wayne Duvall', 'Ethan Suplee', 'Emma Roberts', 'Christopher Berry', 'Sturgill Simpson', 'Kate Nowlin', 'Amy Madigan']","$14,000,000 (estimated)","$5,304,455","$10,550,350","$5,812,500","March 13, 2020","['China', 'Japan', 'United States']","['New Orleans, Louisiana, USA']","['Blumhouse Productions', 'Dentsu', 'Perfect World Pictures']","Awards, 3 wins & 5 nominations total","['Dark Comedy', 'Slasher Horror', 'Action', 'Horror', 'Thriller']","['English', 'Arabic', 'Croatian']"
40. The Rhythm Section,2020,1h 49m,R,5.4,20K,45.0,A woman seeks revenge against those who orchestrated a plane crash that killed her family.,https://www.imdb.com/title/tt7134096/?ref_=sr_i_40,['Mark Burnell'],['Reed Morano'],"['Blake Lively', 'Richard Brake', 'Elly Curtis', 'David Duggan', 'Matilda Ziegler', ""Bill O'Connell"", 'Raza Jaffrey', 'Robert Mullins', 'Ivana Basic', 'Irma Mali']","$50,000,000 (estimated)","$2,715,384","$5,989,583","$5,437,971","January 31, 2020","['United Kingdom', 'Spain', 'Ireland', 'United States']","['Dublin, Ireland (setting: London)']","['Paramount Pictures', 'Global Road Entertainment', 'TMP Films']","Awards, 2 wins & 3 nominations total","['One-Person Army Action', 'Tragedy', 'Action', 'Drama', 'Mystery', 'Thriller']","['English', 'French', 'Arabic', 'Spanish']"
41. Zola,2020,1h 26m,R,6.4,19K,76.0,A stripper named Zola embarks on a wild road trip to Florida.,https://www.imdb.com/title/tt5439812/?ref_=sr_i_41,"['Janicza Bravo', 'Jeremy O. Harris', ""A'Ziah King""]",['Janicza Bravo'],"['Taylour Paige', 'Riley Keough', 'Nicholas Braun', ""Ari'el Stachel"", 'Nelcie Souffrant', 'Nasir Rahim', 'Amelia Rose Monteagudo', 'Colman Domingo', 'Jason Mitchell', 'TS Madison']",,"$1,200,013","$4,998,097","$4,844,399","June 30, 2021",['United States'],"['Ranch House Grill - South Tampa, Florida, USA (Restaurant)']","['Killer Films', 'Gigi Films', 'Ramona Films']","Awards, 10 wins & 40 nominations total","['Dark Comedy', 'Comedy', 'Crime', 'Drama']",['English']
42. The SpongeBob Movie: Sponge on the Run,2020,1h 31m,PG,5.9,24K,65.0,"After SpongeBob's beloved pet snail Gary is snail-napped, he and Patrick embark on an epic adventure to the Lost City of Atlantic City to bring Gary home.",https://www.imdb.com/title/tt4823776/?ref_=sr_i_42,"['Tim Hill', 'Jonathan Aibel', 'Glenn Berger']",['Tim Hill'],"['Tim Hill', 'Clancy Brown', 'Bill Fagerbakke', 'Rodger Bumpass', 'Mr. Lawrence', 'Carolyn Lawrence', 'Awkwafina', 'Tom Kenny', 'Jill Talley', 'Reggie Watts']","$60,000,000 (estimated)","$865,824","$4,810,790","$4,810,790","March 4, 2021","['United States', 'Canada']","['Rome, Lazio, Italy']","['Paramount Animation', 'Nickelodeon Movies', 'Media Rights Capital (MRC)']","Awards, 4 nominations total","['Computer Animation', 'Quest', 'Road Trip', 'Sea Adventure', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","['English', 'Arabic', 'Ukrainian', 'Irish Gaelic']"
43. The Broken Hearts Gallery,2020,1h 49m,PG-13,6.3,11K,57.0,"After a break-up, a young woman decides to start a gallery where people can leave trinkets from past relationships.",https://www.imdb.com/title/tt2140571/?ref_=sr_i_43,['Natalie Krinsky'],['Natalie Krinsky'],"['Geraldine Viswanathan', 'Dacre Montgomery', 'Utkarsh Ambudkar', 'Molly Gordon', 'Phillipa Soo', 'Suki Waterhouse', 'Sheila McCarthy', 'Bernadette Peters', 'Nathan Dales', 'Ego Nwodim']",,"$1,126,401","$4,781,389","$4,067,442","September 11, 2020","['United States', 'Canada']","['Toronto, Ontario, Canada']",['No Trace Camping'],"Awards, 1 win & 2 nominations total","['Comedy', 'Romance']",['English']
44. Nomadland,2020,1h 47m,R,7.3,192K,87.0,"A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.",https://www.imdb.com/title/tt9770150/?ref_=sr_i_44,"['Chloé Zhao', 'Jessica Bruder']",['Chloé Zhao'],"['Frances McDormand', 'David Strathairn', 'Linda May', 'Gay DeForest', 'Patricia Grier', 'Angela Reyes', 'Carl R. Hughes', 'Douglas G. Soul', 'Ryan Aquino', 'Teresa Buchanan']","$5,000,000 (estimated)","$503,000","$39,458,207","$3,700,000","February 19, 2021",['United States'],"['Badlands National Park, South Dakota, USA (Fern works here for a while)']","['Searchlight Pictures', 'Cor Cordium', 'Hear/Say Productions']","Won 3 Oscars, 258 wins & 159 nominations total","['Road Trip', 'Tragedy', 'Drama']",['English']
45. Bill & Ted Face the Music,2020,1h 31m,PG-13,5.9,55K,65.0,"Once told they'd save the universe during a time-traveling adventure, two would-be rockers from San Dimas, California find themselves as middle-aged dads still trying to crank out a hit song and fulfill their destiny.",https://www.imdb.com/title/tt1086064/?ref_=sr_i_45,"['Chris Matheson', 'Ed Solomon']",['Dean Parisot'],"['Keanu Reeves', 'Alex Winter', 'Kristen Schaal', 'Samara Weaving', 'Jack Haven', 'William Sadler', 'Anthony Carrigan', 'Erinn Hayes', 'Jayma Mays', 'Hal Landon Jr.']",,"$1,125,007","$6,274,027","$3,439,660","August 28, 2020","['Bahamas', 'United States']","[""18447 Three Rivers Rd, Covington, Louisiana, USA (Dave Grohl's mansion)""]","['Hammerstone Studios', 'Dugan Entertainment', 'Many Rivers Productions']","Awards, 12 nominations total","['Buddy Comedy', 'Quest', 'Time Travel', 'Adventure', 'Comedy', 'Music', 'Sci-Fi']","['English', 'German', 'Chaozhou', 'Spanish']"
46. Minari,2020,1h 55m,PG-13,7.4,103K,89.0,"A Korean American family moves to an Arkansas farm in search of its own American dream. Amidst the challenges of new life in the strange and rugged Ozarks, they discover the undeniable resilience of family and what really makes a home.",https://www.imdb.com/title/tt10633456/?ref_=sr_i_46,['Lee Isaac Chung'],['Lee Isaac Chung'],"['Steven Yeun', 'Han Ye-ri', 'Alan Kim', 'Noel Cho', 'Darryl Cox', 'Esther Moon', 'Ben Hall', 'Eric Starkey', 'Will Patton', 'Youn Yuh-jung']","$2,000,000 (estimated)","$193,460","$15,288,578","$3,110,580","February 12, 2021",['United States'],"['Tulsa, Oklahoma, USA']","['A24', 'Plan B Entertainment']","Won 1 Oscar, 124 wins & 250 nominations total","['Docudrama', 'Drama']","['Korean', 'English']"
47. The Empty Man,2020,2h 17m,R,6.2,43K,,"On the trail of a missing girl, an ex-cop comes across a secretive group attempting to summon a terrifying supernatural entity.",https://www.imdb.com/title/tt5867314/?ref_=sr_i_47,"['David Prior', 'Cullen Bunn']",['David Prior'],"['James Badge Dale', 'Marin Ireland', 'Sasha Frolova', 'Samantha Logan', 'Evan Jonigkeit', 'Virginia Kull', 'Robert Aramayo', 'Ron Canada', 'Jessica Matten', 'Aaron Poole']",,"$1,310,326","$4,796,993","$2,992,948","October 23, 2020","['United States', 'South Africa', 'France']","['Edwardsville, Illinois, USA']","['20th Century Studios', 'Boom! Studios', 'Out of Africa Entertainment']","Awards, 1 nomination total","['Psychological Horror', 'Supernatural Horror', 'Drama', 'Horror', 'Mystery', 'Thriller']",['English']
48. My Boyfriend's Meds,2020,1h 40m,R,4.6,520,,A woman's island getaway with her boyfriend is thrown for a loop when he forgets to take his prescription medications along.,https://www.imdb.com/title/tt8976664/?ref_=sr_i_48,"['Diego Kaplan', 'Gary Marks']","['Diego Kaplan', 'Fabiola Stevenson']","['Marco Antonio Aguirre', 'Jason Alexander', 'Pamela Almanza', 'Luis Arrieta', 'Brian Baumgartner', 'Ana Belena', 'Jaime Camil', 'David Chavira', 'Sandra Echeverría', 'Donagh Gordon']","$3,300,000 (estimated)","$1,396,140","$6,292,780","$2,971,116","February 21, 2020",['Mexico'],,"['Pantelion Films', 'Fuego Films', 'Traziende Films']","Awards, 3 nominations total",['Comedy'],['Spanish']
49. Dream Horse,2020,1h 53m,PG,6.9,7.4K,68.0,"Dream Alliance is an unlikely race horse bred by small-town Welsh bartender Jan Vokes. With no experience, Jan convinces her neighbors to chip in their meager earnings to help raise Dream in the hopes he can compete with the racing elites.",https://www.imdb.com/title/tt9883996/?ref_=sr_i_49,['Neil McKay'],['Euros Lyn'],"['Toni Collette', 'Owen Teale', 'Alan David', 'Lynda Baron', 'Damian Lewis', 'Karl Johnson', 'Steffan Rhodri', 'Rhys ap William', 'Carwyn Glyn', 'Siân Phillips']",,"$794,741","$6,572,790","$2,913,328","May 21, 2021",['United Kingdom'],"['Blaenavon, Torfaen, Gwent, Wales, UK (street scenes)']","['Film4', 'Ingenious Media', 'Ffilm Cymru Wales']","Awards, 3 wins & 5 nominations total","['Biography', 'Comedy', 'Drama', 'Sport']",['English']
50. Finding You,2020,1h 59m,PG,6.4,9.5K,41.0,"Violinist Finley Sinclair travels to an Irish coastal village to begin a semester of studying abroad. At the B&B run by her host family, she encounters gregarious, persistent heartthrob movie star Beckett Rush.",https://www.imdb.com/title/tt8760280/?ref_=sr_i_50,"['Jenny B. Jones', 'Brian Baugh']",['Brian Baugh'],"['Rose Reid', 'Jedidiah Goodacre', 'Katherine McNamara', 'Patrick Bergin', 'Saoirse-Monica Jackson', 'Judith Hoag', 'Fiona Bell', 'Anabel Sweeney', 'Tom Everett Scott', 'Vanessa Redgrave']",,"$920,476","$3,326,885","$2,753,985","May 14, 2021",['United States'],"['Carlingford, County Louth, Ireland']","['Red Sky Studios', 'Nook Lane Entertainment', 'MK1 Productions']","Awards, 1 nomination total","['Feel-Good Romance', 'Drama', 'Romance']",['English']
51. Words on Bathroom Walls,2020,1h 50m,PG-13,7.2,15K,61.0,"Diagnosed with a mental illness halfway through his senior year of high school, a witty, introspective teen struggles to keep it a secret while falling in love with a brilliant classmate who inspires him to not be defined by his condition.",https://www.imdb.com/title/tt8045906/?ref_=sr_i_51,"['Nick Naveda', 'Julia Walton']",['Thor Freudenthal'],"['Charlie Plummer', 'Andy Garcia', 'Taylor Russell', 'AnnaSophia Robb', 'Beth Grant', 'Devon Bostick', 'Lobo Sebastian', 'Molly Parker', 'Walton Goggins', 'Aaron Dominguez']",,"$432,968","$3,151,849","$2,542,518","August 21, 2020",['United States'],"['Wilmington, North Carolina, USA']","['Kick the Habit Productions', 'LD Entertainment']","Awards, 2 nominations total","['Drama', 'Romance']",['English']
52. After We Collided,2020,1h 45m,R,5.1,41K,14.0,"Based on the 2014 romance novel of the same name, this follows the love life of two young adults.",https://www.imdb.com/title/tt10362466/?ref_=sr_i_52,"['Anna Todd', 'Mario Celaya']",['Roger Kumble'],"['Josephine Langford', 'Hero Fiennes Tiffin', 'Dylan Sprouse', 'Louise Lombard', 'Shane Paul McGhie', 'Candice King', 'Charlie Weber', 'Samuel Larsen', 'Karimah Westbrook', 'Rob Estes']",,"$422,899","$47,990,414","$2,386,483","October 23, 2020",['United States'],"['Atlanta, Georgia, USA']","['CalMaple', 'Frayed Pages Entertainment']","Awards, 1 win total","['Steamy Romance', 'Tragic Romance', 'Drama', 'Romance']","['English', 'Chinese']"
53. Half Brothers,2020,1h 36m,PG-13,6.1,4.4K,30.0,"Renato, a Mexican aviation exec, is shocked to learn that he has an American half-brother he never knew about: free-spirited Asher. They are forced on a road trip together, tracing the path their father took from Mexico to the U.S.",https://www.imdb.com/title/tt10515926/?ref_=sr_i_53,"['Eduardo Cisneros', 'Jason Shuman', 'Ali LeRoi']",['Luke Greenfield'],"['Ian Inigo', 'Juan Pablo Espinosa', 'Bianca Marroquin', 'Amanda Chacon', 'Ebany Martinez-Finley', 'Luis Gerardo Méndez', 'Shira Scott Astrof', 'Nohelia Sosa', 'Pia Watson', 'Mike A. Salazar']",,"$700,160","$3,274,339","$2,241,980","December 4, 2020","['Mexico', 'United States']","['Albuquerque, New Mexico, USA']","['Jason Schulman Productions', 'Eduardo Cisneros Productions', 'Focus Features']","Awards, 1 nomination total","['Comedy', 'Drama']","['English', 'Spanish']"
54. Scoob!,2020,1h 33m,PG,5.6,31K,43.0,"Scooby and the gang face their most challenging mystery ever: a plot to unleash the ghost dog Cerberus upon the world. As they race to stop this dogpocalypse, the gang discovers that Scooby has an epic destiny greater than anyone imagined.",https://www.imdb.com/title/tt3152592/?ref_=sr_i_54,"['Adam Sztykiel', 'Jack C. Donaldson', 'Derek Elliott']",['Tony Cervone'],"['Will Forte', 'Mark Wahlberg', 'Jason Isaacs', 'Gina Rodriguez', 'Zac Efron', 'Amanda Seyfried', 'Kiersey Clemons', 'Ken Jeong', 'Tracy Morgan', 'Frank Welker']",,,"$28,588,425","$2,188,425","May 15, 2020","['United States', 'Canada']","['Los Angeles, California, USA (Reel FX Santa Monica)']","['Warner Bros.', 'Warner Bros. Pictures Animation', 'Hanna-Barbera Productions']","Awards, 3 nominations total","['Computer Animation', 'Whodunnit', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Mystery', 'Sci-Fi']",['English']
